מזהה,תיקייה,תקופה,כותרת,סוג חומר,מה רואים / ערך תיעודי,מקור,בעלים / בעל זכויות משוער,תאריך,סטטוס זכויות,הפעולה הבאה,קישור
ML-018,04_הלוויה_והשבעה,2006-08,זיכרון מהלוויה — The Base,פוסט + צילום,פוסט המספר שמכוניות נסעו בירושלים עם מגפון להזמין אנשים ללוויה.,Facebook — The Michael Levin Base,The Base / בעל התמונה,2020; מתייחס ל־2006,לבקשת רישוי,"לבקש original, זהות המצולמים וסיפור המגפון.",https://www.facebook.com/themichaellevinbase/photos/on-the-eve-of-michaels-yarhzeit-remembering-michael-levin-zlfourteen-years-ago-d/162713652015653/
ML-019,05_הנצחה_והקבר,2006 ואילך,Har Herzl Memorial Service,"וידאו, 01:54",טקס זיכרון בקבר בהר הרצל.,YouTube — SharonAl613,המעלה / מארגני הטקס,2016-08-12,לבקשת רישוי,לפנות למעלה ולבקש קובץ מקור וחומרים נוספים מהטקס.,https://www.youtube.com/watch?v=W9Wj_EEdGXE
ML-020,05_הנצחה_והקבר,2021,Tribute at Har Herzl — 15 years,"וידאו, 06:07",ד״ר טוביה בוק מדבר בקבר במלאת 15 שנה לנפילתו.,YouTube — Tuvia Book,Tuvia Book,2021-07-17,לבקשת רישוי,לבקש master ותמונות נוספות מהעלייה לקבר.,https://www.youtube.com/watch?v=6OhLz4dzRoU
ML-021,05_הנצחה_והקבר,2009,סרט לזכרו של מייקל,"וידאו, 02:05",סרט זיכרון קצר עם תמונות של מייקל.,YouTube — einat brill,Einat Brill / בעלי התמונות,2009-07-15,לבקשת רישוי,לפנות למעלה; לבקש את התמונות המקוריות ולא לחלץ מהווידאו.,https://www.youtube.com/watch?v=8aNrAEkBG7U
ML-022,05_הנצחה_והקבר,2025,Michael Levin memorial 2025,וידאו,טקס/אירוע זיכרון של The Michael Levin Base.,YouTube — The Michael Levin Base,The Michael Levin Base,2025,לבקשת רישוי,לבקש master וחומרי B-roll של הקבר והמשתתפים.,https://www.youtube.com/watch?v=rhFcKUmrmsI
ML-023,05_הנצחה_והקבר,2026,Michael Levin — 20 years — Knesset,וידאו,אירוע כנסת במלאת 20 שנה; ביטוי מוסדי למורשתו.,YouTube — The Michael Levin Base,The Michael Levin Base / הכנסת,2026,לבקשת רישוי,"לבקש master, נאומים ותמונות סטילס.",https://www.youtube.com/watch?v=RcFYBTuLIcA
ML-024,05_הנצחה_והקבר,2026,Yom Hazikaron 2026 — The Base,"וידאו, 32:00","טקס יום הזיכרון של הבסיס; קהילה, חיילים בודדים וזיכרון פעיל.",YouTube — The Michael Levin Base,The Michael Levin Base,2026-04-21,לבקשת רישוי,לבקש multi-camera/masters ו־releases.,https://www.youtube.com/watch?v=sZeveApk6Vc
ML-025,05_הנצחה_והקבר,2025,Yom Hazikaron 2025 — The Base,"וידאו, 01:48:02","טקס מלא; עדויות, מוזיקה וקהל.",YouTube — The Michael Levin Base,The Michael Levin Base,2025-04-29,לבקשת רישוי,לבנות timecoded shot list ולבקש masters.,https://www.youtube.com/watch?v=K8Ehyil0eh0
ML-026,06_מורשת_והשפעה,2009 ואילך,Because of Michael,וידאו + עמוד,סרט על ההשפעה של מייקל על חיילים בודדים והקמת פעילות; קיימת גרסה עם כתוביות עברית.,Michael Levin Lone Soldier Foundation,הקרן,נגיש 2026,לבקשת רישוי,"לבקש master, transcript, releases וחומרי גלם.",https://www.youtube.com/watch?v=IRMwmMDg0mM
ML-027,06_מורשת_והשפעה,2009 ואילך,Because of Michael — כתוביות עברית,וידאו,גרסת הסרט עם כתוביות עברית.,YouTube — The Michael Levin Lone Soldier Foundation,הקרן,נגיש 2026,לבקשת רישוי,להשתמש לצפייה; לבקש master נפרד ללא כתוביות.,https://www.youtube.com/watch?v=MYUnHt7_25I
ML-028,06_מורשת_והשפעה,2021,The Michael Levin Lone Soldier Foundation 2021,"וידאו, 01:25",סיכום פעילות הקרן והשפעת המורשת.,YouTube — הקרן,הקרן,2021-12-29,לבקשת רישוי,לבקש חומרי גלם ו־B-roll.,https://www.youtube.com/watch?v=Uv9Rfgcyuio
ML-029,06_מורשת_והשפעה,2022,Sefer Torah Dedication,"וידאו, 02:35",הכנסת/הקדשת ספר תורה על שמו של מייקל.,YouTube — הקרן,הקרן,2022-06-15,לבקשת רישוי,"לבקש master, תמונות ושמות המשתתפים.",https://www.youtube.com/watch?v=Se1SQKy-Gus
ML-030,06_מורשת_והשפעה,2010,Lone Soldier Center Video.mov,"וידאו, 06:19",תיעוד מוקדם של המרכז לזכרו; פעילות ראשונית ואנשים שהקימו/קיבלו סיוע.,YouTube — shaidavis,המעלה / המרכז,2010-03-19,לבקשת רישוי,חשוב במיוחד לחומרי דור ראשון; לאתר master ומצולמים.,https://www.youtube.com/watch?v=-iCMpxCbbsc
ML-031,06_מורשת_והשפעה,2018,The Lone Soldier Center in memory of Michael Levin,"וידאו, 05:44",פעילות המרכז ושירות לחיילים בודדים.,YouTube — Stephen Krown,Stephen Krown / המרכז,2018-05-14,לבקשת רישוי,לבקש master וחומרי גלם.,https://www.youtube.com/watch?v=7BdeUeMGTMI
ML-032,06_מורשת_והשפעה,2013,IDF Lone Soldiers: Behind the Smiles,"וידאו, 07:31",חיילים בודדים מספרים על חייהם; ממלא פונקציית השפעה והקשר.,YouTube — Lone Soldier Center,Lone Soldier Center,2013-04-17,לבקשת רישוי,לבקש ראיונות מלאים ו־releases.,https://www.youtube.com/watch?v=9lTEUkucKo0
ML-033,06_מורשת_והשפעה,2023,Expanding Levin’s legacy,כתבה + תמונות,כתבת Jerusalem Post על הרחבת המורשת והפעילות לחיילים בודדים.,Jerusalem Post,JPost / הצלמים,2020,לבקשת רישוי,לבקש hi-res ו־outtakes.,https://www.jpost.com/israel-news/the-michael-levin-base-expanding-levins-legacy-for-lone-soldiers-630307
ML-034,06_מורשת_והשפעה,2023,The Base — home away from home,כתבה + תמונות,כתבה על בית הבסיס והפעילות; דמויות וחללים רלוונטיים לצילום חדש.,Baltimore Jewish Life,המו״ל / הצלמים / The Base,2021,לבקשת רישוי,לבקש תמונות מקור ושמות המצולמים.,https://baltimorejewishlife.com/news/news-detail.php?ARTICLE_ID=145855&SECTION_ID=37
ML-035,06_מורשת_והשפעה,2023,Rejuvenation: The Huge Legacy of Michael Levin,אודיו,"ראיון עם Bonnie Rosenbaum על The Base, השירותים והמורשת.",Internet Archive / The Land of Israel Network,The Land of Israel Network; לא צוין רישיון,2023-05-30,רישיון לא אומת,קישור בלבד; לפנות לרשת לקבלת אישור וקובץ מקור.,https://archive.org/details/t3w9ah9luvvppsbtnaboisk7zc5xqvls1nlmik3i
ML-036,06_מורשת_והשפעה,2009 ואילך,המרכז לחיילים בודדים לזכרו של מייקל לוין,אתר ארגון,"האתר הראשי של המרכז בישראל: תוכניות, בתים, קהילה וחיילים.",Lone Soldier Center,המרכז,נגיש 2026,קישור + פנייה לארכיון,"לבקש ארכיון מאז ההקמה: אירועים, חיילים, בתים, קבר, מייסדים ועדויות.",https://lonesoldiercenter.com/he/home/
ML-037,06_מורשת_והשפעה,2009 ואילך,The Michael Levin Base — Press coverage,מרכז קישורים,"עשרות כתבות וסרטים על פעילות הבסיס, חגים, התנדבות והשפעה.",The Michael Levin Base,מו״לים שונים,נגיש 2026,לפי פריט,לעבור לפי ערך חזותי ולבקש זכויות מבעל כל פריט.,https://themichaellevinbase.org/press
ML-038,06_מורשת_והשפעה,2025–2026,Past Events — The Base,מרכז קישורים,"אירועים, טקסים וסרטוני פעילות, כולל YouTube.",The Michael Levin Base,The Base / יוצרים שונים,נגיש 2026,לבקשת רישוי,לבקש masters וקטלוג פנימי.,https://themichaellevinbase.org/past-events
ML-039,06_מורשת_והשפעה,2026,Because of Michael — עמוד השפעה,עמוד + וידאו,"סיפורי השפעה, קרן, תמיכה בחיילים ובמשפחות וערוץ YouTube.",Michael Levin Lone Soldier Foundation,הקרן,2026,לבקשת רישוי,שער לבקשת חומרי המקור של סרטי ההשפעה.,https://michaellevinlonesoldier.org/because-of-michael
ML-040,07_סרטים_וכתבות_לרישוי,לא צוין,A Hero in Heaven,סרט תיעודי,הקרן מציעה טופס רשמי לבקשת הקרנה של הסרט על מייקל.,Michael Levin Lone Soldier Foundation,הקרן / יוצרי הסרט,נגיש 2026,בקשת הקרנה ורישוי,"להגיש בקשה רשמית; לבקש screener, master, transcript, cue sheet ורשימת בעלי חומרי ארכיון.",https://michaellevinlonesoldier.org/a-hero-in-heaven
ML-041,01_ילדות_ומשפחה,משפחה; נעורים/בגרות מוקדמת,"Harriet Levin with her son, Michael Levin z״l",תצלום משפחתי,תצלום משפחתי צמוד של הרייט לוין ובנה מייקל. שניהם מזוהים במפורש בכיתוב של העמוד,The Michael Levin Base / משפחת לוין,The Michael Levin Base / משפחת לוין; צלם וזכויות בתצלום אינם מצוינים,ללא תאריך גלוי; כנראה לפני אוגוסט 2006,לבקשת רישוי,"לפנות ל-The Michael Levin Base / משפחת לוין לקבלת קובץ מקור, caption והרשאה כתובה.",https://themichaellevinbase.org/writetoharriet
ML-042,01_ילדות_ומשפחה,"שירות, חברים והנצחה מאוחרת",Remembering Michael Levin Z״L – The Michael Levin Base,מצגת וידאו / סטילס ארכיוניים,"סרט הנצחה בן כ־3:32. בבדיקת פריימים נראו סטילס של מייקל במדים ועם חברים/חיילים, לצד מסכי טקסט ביוגרפיים",The Michael Levin Base,The Michael Levin Base; זכויות בתצלומי המשפחה המשולבים אינן מפורטות,3.8.2020,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=usVj7zibuIg
ML-043,01_ילדות_ומשפחה,זיכרון משפחתי בדיעבד,Mark Levin telling Michael’s story,וידאו עדות,"עדות של אביו של מייקל; מועמד כמקור ראשוני למשפחה, ילדות, עלייה והחלטות השירות",זהות הערוץ/בעל ההקלטה לא אומתה במלואה,זהות הערוץ/בעל ההקלטה לא אומתה במלואה; מארק לוין מזוהה בכותרת,תאריך מדויק לא אומת,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=uL3e-q0EHuM
ML-044,01_ילדות_ומשפחה,ילדות ומשפחה כפי שסופרו בדיעבד,A Hero in Heaven — discussion with Mark & Harriet Levin,שיחת וידאו / עדות הורים,"שיחה ארוכה, כ־53 דקות, עם מארק והרייט לוין על חייו של בנם. מקור ראשוני בעל פוטנציאל לפרטים על הבית בפנסילבניה, האופי והמשפחה",NHBZ — Nusach Hari B’nai Zion,"NHBZ — Nusach Hari B’nai Zion; דברי ההורים שייכים לדוברים, וזכויות ההקלטה אינן מפורטות",11.4.2021,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=zRMowMhwdk8
ML-045,05_הנצחה_והקבר,ילדות–שירות והנצחה,טקס יום הזיכרון של הכנסת — סרטון לזכרו של מייקל לוין,סרט מחווה מוסדי,סרט זיכרון בעברית באורך כ־4:16; עשוי לכלול מבחר מרוכז של תצלומי חיים ושירות. בתיאור: “Knesset Tribute to Michael Levin”,ערוץ Lone Soldier Center,"ערוץ Lone Soldier Center; הסרט הוכן/הוצג בהקשר הכנסת, אך בעל הזכויות הסופי אינו מצוין",הועלה בקירוב ב־2014,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=Oz3ypfrTaBs
ML-046,01_ילדות_ומשפחה,לפני 2006 והנצחה מוקדמת,In memory of IDF Hero Michael Levin,מצגת/סרט זיכרון,"סרט זיכרון מוקדם באורך כ־3:59; מועמד לאיתור תצלומי משפחה, חברים ושירות שהופצו סמוך יחסית לנפילה",ערוץ AbbaSez,ערוץ AbbaSez; מקור התמונות וההקלטות המשולבות אינו מצוין,הועלה בקירוב ב־2008,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=RNNTbiS7TWs
ML-047,03_שירות_צבאי_וחברים,"ילדות, שירות והנצחה",Michael Levin: An Eternal Hero Living In Heaven,סרט זיכרון מורכב,"סרט באורך כ־10:34, כנראה אוסף ביוגרפי רחב. שימושי כקטלוג־איתור בלבד עד לבדיקת כל פריים וקרדיט",ערוץ WeStandWithIsrael לפי תוצאת החיפוש,ערוץ WeStandWithIsrael לפי תוצאת החיפוש; זכויות בחומרי המקור אינן מפורטות,הועלה בקירוב ב־2012,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=KjyO6RWhpe0
ML-048,04_הלוויה_והשבעה,2006,Getty — חיילי צנחנים נושאים את ארונו עטוף הדגל — שוט מרכזי להלוויה,צילום עיתונות,חיילי צנחנים נושאים את ארונו עטוף הדגל — שוט מרכזי להלוויה,Getty Images,Getty Images; צלם/סוכנות כמפורט בדף הנכס,3.8.2006 בקירוב (אירוע ההלוויה; יש לאמת בדף הרישוי),לבקשת רישוי,"לבקש מ-Getty הצעת רישוי, קובץ high-res ו-caption מקורי.",https://www.gettyimages.com/detail/news-photo/israeli-army-paratroopers-carry-the-flag-draped-coffin-of-news-photo/71576370
ML-049,04_הלוויה_והשבעה,2006,Getty — הארייט לוין בהלוויה,צילום עיתונות,הארייט לוין בהלוויה; עדות חזותית למשפחה ולאבל,Getty Images,Getty Images,3.8.2006 בקירוב,לבקשת רישוי,"לבקש מ-Getty הצעת רישוי, קובץ high-res ו-caption מקורי.",https://www.gettyimages.com/detail/news-photo/harriet-levin-the-mother-of-israeli-army-paratrooper-first-news-photo/71576373
ML-050,04_הלוויה_והשבעה,2006,Getty — מארק לוין בהלוויה,צילום עיתונות,מארק לוין בהלוויה,Getty Images,Getty Images,3.8.2006 בקירוב,לבקשת רישוי,"לבקש מ-Getty הצעת רישוי, קובץ high-res ו-caption מקורי.",https://www.gettyimages.com/detail/news-photo/mark-levin-the-father-of-israeli-army-paratrooper-first-news-photo/71576417
ML-051,04_הלוויה_והשבעה,2006,Getty — צנחן מתאבל ליד הקבר המכוסה זרים,צילום עיתונות,צנחן מתאבל ליד הקבר המכוסה זרים,Getty Images,Getty Images,3.8.2006 בקירוב,לבקשת רישוי,"לבקש מ-Getty הצעת רישוי, קובץ high-res ו-caption מקורי.",https://www.gettyimages.com/detail/news-photo/an-israeli-army-paratrooper-grieves-at-the-wreath-covered-news-photo/71576419
ML-052,05_הנצחה_והקבר,2006,Michael Levin Shloshim II,וידאו ביתי/טקס,"“Michael Levin Shloshim II” — חומר קרוב בזמן, הספדים/קהל/טקס שלושים",rebezra (מעלה),rebezra (מעלה); בעל הצילום טעון בירור,4.9.2006,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=830HEitIB0w
ML-053,05_הנצחה_והקבר,2008,Remembering Michael Levin,וידאו זיכרון,“Remembering Michael Levin” — יום שנה/עדויות,Andy Ratto,Andy Ratto,1.8.2008,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=nDOOK5oahzE
ML-054,05_הנצחה_והקבר,2013,Michael Levin Story on Mt. Herzl,וידאו ביתי/עדות מקום,“Michael Levin Story on Mt. Herzl” — סיפור ליד הקבר/באתר הר הרצל,WerlFamHomeMovies,WerlFamHomeMovies,15.4.2013,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=aczEugdYSDk
ML-055,05_הנצחה_והקבר,2020,Lone Soldier Center's Yom Hazikaron Ceremony 2020,טקס מלא/שידור,"טקס יום הזיכרון של המרכז בתקופת הקורונה; נאומים, נרות ועדויות",Lone Soldier Center,Lone Soldier Center,27.4.2020,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=SE3tKlmTbOg
ML-056,06_מורשת_והשפעה,2020–2021,This Year in Review | The Michael Levin Base,סרט סיכום פעילות,“This Year in Review” — פעילות שנתית עם חיילים בודדים,The Michael Levin Base,The Michael Levin Base,15.8.2021,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=mwyMzjyI-wY
ML-057,06_מורשת_והשפעה,2021,We Are The Michael Levin Base,סרט תדמית/עדויות,"“We Are The Michael Levin Base” — זהות הארגון, חללים/מתנדבים/חיילים",The Michael Levin Base,The Michael Levin Base,19.12.2021,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=S_6jD-Co8p8
ML-058,06_מורשת_והשפעה,2022,Michael Levin Lone Soldier   Torah Dedication   02052022,תיעוד טקס,הקדשת ספר תורה לזכר מייקל; טקס קהילתי/דתי,Brian R Lurie,Brian R Lurie,4.7.2022; הכותרת מציינת 5.2.2022,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=Z7E_4cu_EQg
ML-059,06_מורשת_והשפעה,2022,Thanksgiving Recap 2022 | The Michael Levin Base,וידאו פעילות/אירוע,"Thanksgiving 2022 — קהילה, ארוחה וחיילים בודדים",The Michael Levin Base,The Michael Levin Base,14.12.2022,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=8jEp7nHaa0s
ML-060,06_מורשת_והשפעה,2024,The Michael Levin Base 2024,סרט סיכום/תדמית,"The Michael Levin Base 2024 — פעילות עדכנית, חיילים ומתנדבים",The Michael Levin Base,The Michael Levin Base,16.12.2024,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=MLygCijU1LM
ML-061,05_הנצחה_והקבר,2026,Yom Hazikaron 2026 - The Michael Levin Base,טקס/וידאו,Yom Hazikaron 2026 — הטקס העכשווי ביותר שאותר,The Michael Levin Base,The Michael Levin Base,20.4.2026,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=BB_U2x5xl-E
ML-062,06_מורשת_והשפעה,2026,TLV Opening,סרט אירוע/ארגון,"“TLV Opening” — פתיחת בסיס/מרכז בתל אביב, עדות להתרחבות המורשת",The Michael Levin Base,The Michael Levin Base,29.7.2026,לבקשת רישוי,לפנות למעלה ולברר מי מחזיק בחומר הגלם; לבקש master והרשאת שימוש.,https://www.youtube.com/watch?v=sw3lSZ7b-ps
ML-063,05_הנצחה_והקבר,2009,Flickr — קבר מייקל בהר הרצל,צילום סטילס,קבר מייקל בהר הרצל,Benjamin Cohen / WorldOfBenjamin,Benjamin Cohen / WorldOfBenjamin,צולם 29.7.2009; הועלה 24.5.2011,לבקשת רישוי,לפנות לצלם/מעלה; כפתור Download אינו היתר שימוש.,https://www.flickr.com/photos/benjaminpicklescohen/5755601625/
ML-064,05_הנצחה_והקבר,2010,Flickr — קברו של החייל מפילדלפיה שנפל במלחמת לבנון השנייה,צילום סטילס,קברו של החייל מפילדלפיה שנפל במלחמת לבנון השנייה,Meir Weinberg,Meir Weinberg,צולם 9.3.2010; הועלה 16.3.2010,לבקשת רישוי,לפנות לצלם/מעלה; כפתור Download אינו היתר שימוש.,https://www.flickr.com/photos/mdw91/4438927686/
ML-065,05_הנצחה_והקבר,2010,Flickr — אנדרטה/קבר ומסגור נרטיבי של עלייתו ושובו למלחמה,צילום סטילס,אנדרטה/קבר ומסגור נרטיבי של עלייתו ושובו למלחמה,Talia Davis / thdpr,Talia Davis / thdpr,צולם 25.10.2010; הועלה 27.10.2010,לבקשת רישוי,לפנות לצלם/מעלה; כפתור Download אינו היתר שימוש.,https://www.flickr.com/photos/thdpr/5120194079/
